date,variant,duration_s,prof_pkg_mWh,prof_igpu_mWh,prof_dram_mWh,prof_total_mWh,prof_co2_mg,plug_total_mWh,plug_net_mWh,plug_total_co2_mg,plug_net_co2_mg,idle_W,grid_intensity
2025-08-22T21:00:42,baseline,180,1580,41,0,1621,715,5767.85,1817.48,2549.4,803.3,79.2,442
2025-08-22T21:09:35,baseline,183,1470,35,0,1505,667,4605.74,625.59,2035.7,276.5,79.2,442
2025-08-22T21:21:29,baseline,181,1510,37,0,1547,679,4431.14,612,1958.6,248.3,79.2,442
2025-08-22T21:33:02,cm,182,1430,35,0,1465,647,4900.02,888.15,2165.8,392.6,79.2,442
2025-08-22T21:41:28,cm,182,1510,38,0,1548,685,4989.64,1085.03,2205.4,479.6,79.2,442
2025-08-22T21:49:29,cm,182,1450,35,0,1485,657,4972.2,1026.62,2197.7,453.8,79.2,442
2025-08-22T22:00:46,ic,183,985,29,0,1014,480,4512.24,529.25,1994.4,233.9,79.2,442
2025-08-22T22:09:21,ic,183,1010,31,0,1041,458,3803.16,0,1681,0,79.2,442
2025-08-22T22:18:02,ic,183,976,28,0,1004,445,5096.4,1076.14,2252.6,475.7,79.2,442
2025-08-22T22:29:18,ll,182,1620,47,0,1667,738,4209.95,425.81,1860.8,188.2,79.2,442
2025-08-22T22:37:34,ll,183,1450,35,0,1485,654,5821.4,1810.52,2573.1,800.2,79.2,442
2025-08-22T22:45:25,ll,180,1430,34,0,1464,649,4381.74,468.34,1936.7,207,79.2,442
2025-08-23T23:22:14,ic_cm,183,754,21,0,775,342.1,4721.63,172.06,2087,76.1,89.9,442
2025-08-23T23:30:34,ic_cm,183,758,18,0,776,343.1,4699.73,139.96,2077.3,61.9,89.9,442
2025-08-23T23:38:23,ic_cm,183,752,20,0,772,422,3798.26,0,1678.8,0,89.9,442
2025-08-23T23:49:31,ll_cm,183,1140,20,0,1160,513.9,4491.8,257.9,1985.4,114,89.9,442
2025-08-23T23:57:35,ll_cm,183,1070,22,0,1092,479.9,4182.58,111.06,1848.7,49.1,89.9,442
2025-08-24T00:05:44,ll_cm,183,1130,20,0,1150,510,3945.45,14.67,1743.9,6.5,89.9,442
2025-08-24T00:56:15,ll_cm_ic,183,778,20,0,798,352.8,4040.5,142.13,1785.9,62.8,76.8,442
2025-08-24T01:04:10,ll_cm_ic,183,776,19,0,795,347.3,4635.94,756.49,2049.1,334.4,76.8,442
2025-08-24T01:12:00,ll_cm_ic,183,751,18,0,769,340,4981.97,1073.74,2202,474.6,76.8,442
2025-08-24T01:35:39,ll_ic,182,748,18,0,766,338,4776.86,975.86,2111.4,431.3,75.3,442
2025-08-24T01:43:27,ll_ic,183,756,19,0,775,342.3,3929.23,93.7,1736.7,41.4,75.3,442
2025-08-24T01:51:09,ll_ic,182,749,18,0,767,141.1,4624.72,813.2,2044.1,359.4,75.3,442
